序號,漢字,Unicode,字集,有疑問／想挑戰紀錄,台客語,IICore台,IICore港,甲表,乙表,小字典,重編,縣市名,路名,姓氏,考生,城市,JIS,字型數,分類,附註
5674,雩,9.60E+10,Big5-1,,A,A,,V,,V,,,,20,,3,,12,命名常用,
6017,雰,096F0,Big5-2,,,A,,V,,V,,,,162,,1,常,11,,
5367,霈,9708,Big5-2,,B,,,V,,V,,,,1026,,2,,13,常用詞,甘霈、人名常用
7034,霙,9719,Big5-2,,A,A,,,,V,,,1,313,,2,,8,,
6699,霤,9724,Big5-1,,A,,,V,,V,,,,,,2,,9,,
5368,霰,9730,Big5-1,,A,A,,V,,V,,,,4,,2,,13,常用詞,冰霰
5369,靚,0975A,Big5-2,客,B,B,,V,,V,,,,311,,3,,13,常用詞,靚女
5676,靳,9773,Big5-2,台,A,A,,V,,V,,,1390,65,,3,,12,史地用字,
7036,韉,097C9,Big5-1,,A,,,V,,V,,,,,,3,,8,,
6020,頇,9807,Big5-2,台,C,,,V,,V,,,,,,,,11,,
5370,頜,0981C,Big5-1,,A,A,,V,,V,,,,,,,,13,科學工程,構成口腔上下部位的骨骼、肌肉組織稱為「頜」，分為上頜、下頜。
5677,頫,0982B,Big5-1,,A,,,V,,V,,,,9,,3,,12,,時代力量江冠頫
5679,顢,9862,Big5-2,台,C,,,V,,V,,,,,,,,12,常用詞,顢頇
5371,顥,9865,Big5-1,,A,A,,V,,V,,,,488,,3,,13,姓氏、人名,崔顥
6383,顳,9873,Big5-2,,C,,,V,,V,,,,,,2,,10,,
5372,顴,9874,Big5-2,台,C,,,V,,V,,,,,,2,,13,常用詞,顴骨
4774,飆,098C6,Big5-2,台、客,B,B,,V,V,V,,,,1,,2,,14,不分類,14 都有收
4797,餚,0991A,Big5-1,客,A,A,,V,V,V,,,,,,4,,14,不分類,14 都有收
6021,餬,0992C,Big5-2,,B,,,V,,V,,,,,,2,,11,,
4802,餮,0992E,Big5-1,,A,,,V,,V,,,,,,2,,14,不分類,14 都有收
5680,饃,9943,Big5-2,,,,,V,,V,,,,,,,,12,食物,饃夾肉
6022,饈,9948,Big5-2,,C,,,V,V,V,,,,,,,,11,,珍饈
5681,饉,9949,Big5-1,,A,A,,V,,V,,,,,,2,,12,常用詞,饑饉
4808,饋,0994B,Big5-2,台,A,A,,V,V,V,,,,1,,2,,14,不分類,14 都有收
5373,饌,0994C,Big5-2,,A,A,,V,,V,,,,,,2,,13,常用詞,有酒食，先生饌
4811,饕,9955,Big5-1,,A,,,V,,V,,,,,,2,,14,不分類,14 都有收
4812,饗,9957,Big5-1,台,A,A,,V,V,V,,,,,,1,人,14,不分類,14 都有收
17242,饢,9962,CJK,,,,,,,,,,,,,,,1,,印度餅
5682,馗,9997,Big5-2,,B,B,,V,,V,,,,10,,2,,12,常用詞,鍾馗
4840,騏,09A0F,Big5-2,,A,A,,V,,V,,,,613,,2,,14,不分類,14 都有收
6023,騮,09A2E,Big5-2,,B,B,,V,,V,,,,2,,3,,11,,
